zipcode,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,lat,long,sqft_living15,sqft_lot15
517677.60943743406,20140729,306000.0,3,2.0,1160,7217,1.0,0,0,3,7,1160,0,1969,0,47.7279,-122.227,1870,9104
1317971.4550369675,20141201,1890000.0,4,4.25,4285,9345,2.0,0,0,3,10,4285,0,2013,0,47.6332,-122.199,1570,8994
577613.3453718338,20140903,514000.0,3,2.25,2260,54014,1.0,0,0,3,7,1450,810,1962,0,47.7657,-122.131,2140,44431
385689.7941951416,20140516,282613.0,2,1.0,830,6017,1.0,0,0,4,6,830,0,1954,0,47.7466,-122.334,1340,6040
281376.1988918954,20140603,309000.0,5,2.75,2481,4045,2.0,0,0,3,8,2481,0,2014,0,47.2602,-122.284,2363,4175
537772.3473370278,20150218,400000.0,3,2.0,1650,5027,1.5,0,0,3,7,1650,0,2009,0,47.515,-121.874,2430,6000
537772.3473370278,20140503,310000.0,3,1.0,1010,9945,1.0,0,0,4,6,1010,0,1973,0,47.5324,-121.763,1390,12710
417451.4087955894,20150502,253200.0,3,1.0,1360,5840,1.0,0,0,4,5,1360,0,1953,0,47.4945,-122.166,1250,6708
517677.60943743406,20140718,334009.0,4,2.0,1650,9305,1.0,0,0,4,6,1650,0,1960,0,47.7183,-122.213,1860,7486
647880.2314016988,20150325,500000.0,3,2.0,1540,3600,1.0,0,0,3,7,890,650,1994,0,47.6103,-122.296,1540,3600
517677.60943743406,20150424,441500.0,3,1.75,1510,7700,1.0,0,0,3,7,1510,0,1968,0,47.7283,-122.194,1440,7416
621884.9772398884,20150218,685000.0,4,2.0,2290,6000,1.5,0,3,5,7,2290,0,1900,0,47.6807,-122.318,2000,3150
559195.2247155734,20140812,327000.0,4,2.5,1630,5361,2.0,0,0,3,7,1630,0,1999,0,47.5704,-122.294,1920,5046
773135.7822860475,20140807,450000.0,4,1.75,1520,5250,1.0,0,0,3,6,1520,0,1949,0,47.6581,-122.39,1530,5250
285769.4019768135,20140514,356000.0,3,3.5,2100,12384,2.0,0,0,3,9,2100,0,1980,0,47.4687,-122.263,2400,7776
773135.7822860475,20141024,525000.0,3,1.75,1560,6000,1.0,0,0,3,6,780,780,1944,0,47.6501,-122.384,1560,1734
833051.3421752874,20141215,675000.0,3,2.5,1300,1590,2.0,0,0,3,8,1100,200,2014,0,47.6384,-122.343,1070,1223
661981.1324912922,20140731,875000.0,5,4.25,4720,18741,2.0,0,0,3,11,3210,1510,2005,0,47.6347,-122.013,3880,37328
432011.7554567581,20141106,345000.0,3,2.5,1990,20466,1.5,0,0,4,8,1410,580,1987,0,47.3259,-121.896,1660,93393
798054.9483113907,20140515,695000.0,4,3.0,3150,9130,2.0,0,0,3,9,3150,0,2001,0,47.5974,-122.017,2970,6228
517677.60943743406,20140619,350000.0,2,1.0,1620,9205,1.0,0,0,5,6,850,770,1921,0,47.7119,-122.23,2460,5469
685981.4462146086,20141013,695000.0,4,2.5,2790,6540,2.0,0,0,3,9,2790,0,1999,0,47.6087,-122.016,2790,6270
307183.51661482156,20150123,400000.0,4,3.0,2320,13068,2.0,0,2,3,8,2320,0,1998,0,47.3497,-122.317,2220,25265
321519.3279579987,20150409,330000.0,2,1.0,1129,3840,1.0,0,0,3,7,1129,0,1953,0,47.5313,-122.351,1300,3880
307183.51661482156,20141022,265000.0,3,1.5,1290,7100,1.0,0,0,3,6,1290,0,1954,0,47.4227,-122.332,1300,7183
695879.8141643608,20140808,630000.0,4,2.5,2290,26720,2.0,0,0,3,8,2290,0,1977,0,47.7502,-122.374,2290,26720
621884.9772398884,20141028,312000.0,2,1.0,1460,6000,1.0,0,0,2,7,1260,200,1925,0,47.7009,-122.317,1580,6380
238271.8967176077,20150129,156000.0,2,1.0,920,5889,1.0,0,0,4,6,920,0,1950,0,47.3012,-122.218,1210,6180
291708.12971050886,20141020,300000.0,6,2.5,3080,8163,1.0,0,0,3,7,1580,1500,1985,0,47.3859,-122.221,1850,8658
307183.51661482156,20141028,1225000.0,4,2.5,3120,49456,2.0,1,4,4,9,2590,530,1974,1989,47.3535,-122.323,2030,32181
839851.1176672434,20150326,465000.0,2,1.0,1120,4000,1.0,0,0,3,7,1120,0,1926,0,47.6567,-122.327,1620,4000
655438.3872677562,20140908,923990.0,4,2.5,3600,6055,2.0,0,0,3,9,3600,0,2014,0,47.7053,-122.126,3590,6050
288713.37670255953,20150417,320000.0,4,2.25,2000,10374,2.0,0,1,4,7,2000,0,1967,0,47.3342,-122.34,2170,10374
449740.95761094906,20140724,375000.0,3,1.0,1610,11250,1.0,0,0,3,7,1090,520,1975,0,47.7391,-122.256,2040,10692
1076907.663159129,20140602,985000.0,3,1.75,1670,5400,2.0,0,0,5,8,1670,0,1912,0,47.635,-122.284,2100,5400
1317971.4550369675,20140710,850000.0,5,2.0,2310,13430,1.5,0,0,4,8,2310,0,1966,0,47.6395,-122.203,2810,13906
577613.3453718338,20140603,474900.0,3,2.25,1800,43647,1.0,0,0,4,8,1800,0,1976,0,47.7757,-122.132,2480,25608
496598.0708064793,20150228,997000.0,4,3.5,3430,13609,2.0,0,0,3,11,3430,0,2001,0,47.5196,-122.151,3880,11614
621884.9772398884,20150423,1302000.0,4,3.5,3590,5334,2.0,0,2,3,9,3140,450,2006,0,47.6763,-122.267,2100,6250
364020.1345965114,20150224,209900.0,2,2.0,1180,3003,2.0,0,0,3,6,1180,0,2005,0,47.3491,-122.02,1310,3003
647880.2314016988,20140714,602000.0,3,2.5,1640,3804,2.0,0,0,3,8,1640,0,1998,0,47.6103,-122.3,1440,3230
685981.4462146086,20140612,1228000.0,4,2.5,5730,44947,2.0,0,4,3,11,4280,1450,1991,0,47.6052,-122.064,3310,17628
625942.10720666,20150206,856000.0,3,2.5,2160,3920,2.0,0,0,3,9,2160,0,2014,0,47.5762,-122.415,1500,4920
517677.60943743406,20140902,392000.0,3,2.25,1790,7125,1.0,0,0,3,7,1220,570,1974,0,47.7184,-122.226,2040,7950
415021.2704157972,20150422,500000.0,4,2.5,2900,5760,1.0,0,0,4,8,1660,1240,1959,0,47.55,-122.272,2250,6098
288713.37670255953,20150211,230000.0,3,2.25,1500,7210,1.0,0,0,3,7,1150,350,1984,0,47.3124,-122.352,1500,7210
833051.3421752874,20140626,1145000.0,3,2.5,2490,4000,2.0,0,0,5,8,1670,820,1918,0,47.6403,-122.35,2310,4000
417451.4087955894,20150219,560000.0,4,2.5,3270,24750,1.0,0,0,4,8,1690,1580,1979,0,47.5221,-122.178,1520,13480
695879.8141643608,20141009,355000.0,3,2.25,1980,7200,1.0,0,0,3,8,1300,680,1964,0,47.7625,-122.36,1820,8250
1076907.663159129,20140815,785000.0,3,2.0,2090,5015,1.5,0,0,5,7,2090,0,1920,0,47.6378,-122.301,1930,4250
647880.2314016988,20150305,447500.0,2,2.25,1180,2090,2.0,0,0,3,7,1180,0,2004,0,47.6032,-122.31,1550,2812
580027.8727581471,20140516,540000.0,1,1.0,1140,6700,1.5,0,0,3,7,1140,0,1920,0,47.6958,-122.357,1350,6700
288713.37670255953,20141119,252000.0,3,2.0,1540,7210,2.0,0,0,4,7,1540,0,1984,0,47.3128,-122.351,1500,7210
346873.894196814,20140606,455000.0,4,1.75,2050,94525,1.0,0,0,4,7,1250,800,1959,0,47.4492,-122.084,2270,47480
879447.8457632429,20140619,619850.0,4,2.5,2270,9247,1.0,0,0,5,8,1500,770,1972,0,47.5602,-122.176,2270,9163
1076907.663159129,20141215,1250000.0,3,2.5,2070,4944,2.0,0,0,3,9,2070,0,1930,0,47.6256,-122.284,3300,6179
621884.9772398884,20141229,495000.0,3,1.5,1580,1228,3.0,0,0,3,8,1580,0,2014,0,47.6765,-122.32,1580,3605
580027.8727581471,20150327,540000.0,3,1.0,1270,3840,1.5,0,0,3,7,1270,0,1926,0,47.6896,-122.357,1270,4175
281376.1988918954,20150430,286651.0,3,2.5,1830,4997,2.0,0,0,3,7,1830,0,2004,0,47.3035,-122.283,2488,4998
308241.5444053544,20141015,261000.0,3,1.0,1780,7800,1.0,0,0,3,7,1060,720,1957,0,47.4932,-122.263,1450,7800
798054.9483113907,20150327,830000.0,4,3.25,3330,7809,2.0,0,0,3,9,3330,0,2004,0,47.5977,-121.976,3100,6465
417451.4087955894,20141202,450000.0,3,2.25,2530,27227,2.0,0,0,3,8,2530,0,1987,0,47.527,-122.193,2160,30192
432011.7554567581,20140718,260000.0,2,1.0,1270,19602,1.0,0,0,3,6,1270,0,1977,0,47.3375,-122.048,1270,17699
1317971.4550369675,20150327,1450000.0,4,3.5,2820,7809,2.0,0,0,3,10,2820,0,1995,0,47.622,-122.195,2630,7904
324171.50197200786,20150327,480000.0,5,3.5,3480,12821,2.0,0,2,3,10,2890,590,2004,0,47.2641,-122.215,3400,9870
415021.2704157972,20150109,270000.0,4,2.0,1830,5220,1.5,0,0,3,7,1830,0,1951,0,47.5331,-122.278,1760,5757
879447.8457632429,20140618,1160000.0,4,3.5,4680,9700,2.0,0,0,3,10,3360,1320,2005,0,47.5703,-122.165,2800,12343
240937.19508550025,20140807,250000.0,3,1.0,1700,7700,1.0,0,0,3,7,1120,580,1960,0,47.5114,-122.318,1700,8800
647880.2314016988,20140628,650000.0,2,1.0,1050,2542,1.0,0,0,3,7,880,170,1904,0,47.6172,-122.298,1620,1809
655438.3872677562,20141124,589950.0,3,2.0,2080,12094,2.0,0,0,4,8,2080,0,1982,0,47.7035,-122.164,2230,12204
661981.1324912922,20140609,743700.0,4,2.5,2610,33206,2.0,0,0,3,10,2610,0,1988,0,47.6662,-122.057,2870,28295
559195.2247155734,20140630,1925000.0,5,4.25,4830,8050,2.5,0,2,4,11,3710,1120,1914,0,47.5789,-122.286,4470,9194
313640.63720585563,20141103,316000.0,3,1.75,1120,98445,1.5,0,2,4,7,1120,0,1917,0,47.1853,-122.017,1620,34200
417451.4087955894,20140626,235867.0,4,2.0,1330,5926,1.0,0,0,4,5,1330,0,1942,0,47.496,-122.19,1150,5485
834506.6429165206,20150126,716000.0,3,2.0,1420,3600,1.5,0,0,4,7,1420,0,1904,0,47.6367,-122.364,1250,3600
655438.3872677562,20140914,683000.0,4,2.5,2620,10489,2.0,0,0,3,9,2620,0,1990,0,47.6732,-122.143,2430,7701
773135.7822860475,20150224,345000.0,3,2.0,1430,4200,1.0,0,0,4,7,830,600,1908,0,47.6462,-122.384,1540,5000
417012.1460102988,20140827,270000.0,3,1.75,1260,7500,1.0,0,0,3,6,840,420,1947,0,47.772,-122.323,1340,7500
285769.4019768135,20141024,239000.0,3,1.5,1330,6540,1.0,0,0,3,7,900,430,1971,0,47.4239,-122.292,1400,11500
559195.2247155734,20141029,385195.0,1,1.0,710,6000,1.5,0,0,3,6,710,0,2015,0,47.5756,-122.316,1440,4800
346873.894196814,20150402,273000.0,3,1.75,2050,9045,2.0,0,0,4,6,2050,0,1959,0,47.4572,-122.18,1200,9045
625942.10720666,20150506,476900.0,3,1.0,1240,5758,1.5,0,0,4,6,960,280,1910,0,47.5675,-122.396,1460,5750
580027.8727581471,20150318,551000.0,4,1.75,2040,6348,1.0,0,0,3,7,1020,1020,1962,0,47.6964,-122.336,1770,5047
621884.9772398884,20140715,448000.0,2,1.0,1110,5413,1.0,0,0,3,6,890,220,1937,0,47.6925,-122.32,1300,5413
812746.4324724553,20141020,411100.0,3,1.5,1040,10323,1.0,0,0,4,7,1040,0,1958,0,47.5882,-122.155,1580,7200
346873.894196814,20140612,223000.0,2,1.0,910,9869,1.0,0,0,3,6,910,0,1957,0,47.4572,-122.184,1480,9750
346873.894196814,20140801,335500.0,5,3.0,2240,19090,1.0,0,0,4,8,1700,540,1968,0,47.4416,-122.149,2280,20000
689418.5967546065,20140925,730000.0,3,3.0,3460,13129,2.0,0,0,3,9,2560,900,1988,0,47.7315,-122.058,3460,12568
355749.88118224224,20150120,197200.0,3,1.0,1140,8775,1.0,0,0,3,6,990,150,1942,0,47.4824,-122.336,1300,8775
839851.1176672434,20140620,725000.0,6,1.75,2380,4080,2.0,0,0,3,8,2380,0,1917,0,47.6629,-122.325,2030,4080
313640.63720585563,20140612,342500.0,3,2.0,2080,11375,1.0,0,0,3,8,2080,0,2002,0,47.214,-121.993,1080,12899
417012.1460102988,20140911,340000.0,5,2.0,1750,8220,1.0,0,0,3,7,1750,0,1956,0,47.7694,-122.321,1210,6760
580027.8727581471,20140505,418000.0,3,2.0,1410,6030,1.5,0,0,4,7,1410,0,1930,0,47.6994,-122.347,1410,6300
559195.2247155734,20150417,410000.0,3,1.75,2160,4000,1.0,0,0,3,7,1080,1080,1953,0,47.5721,-122.309,1260,3200
288713.37670255953,20141029,240000.0,5,1.75,2460,16000,1.0,0,0,3,7,1230,1230,1957,0,47.3305,-122.351,1990,16000
441677.41414039204,20140509,800000.0,4,3.25,3540,159430,2.0,0,0,3,9,3540,0,2007,0,47.6285,-121.899,1940,392040
415021.2704157972,20140605,275000.0,3,3.0,1390,1080,2.0,0,0,3,7,1140,250,2006,0,47.5323,-122.281,1450,1081
517677.60943743406,20150326,617950.0,4,2.5,2410,7950,2.0,0,0,3,8,2410,0,1997,0,47.7185,-122.226,1920,7713
449740.95761094906,20141117,396000.0,3,1.5,1300,8280,1.0,0,0,5,7,1300,0,1956,0,47.7403,-122.256,1570,8692
313062.96702520625,20150423,309000.0,3,2.5,1950,3825,2.0,0,0,3,7,1950,0,2013,0,47.3588,-122.082,1950,3825
773135.7822860475,20141003,1275000.0,4,1.75,3720,8448,1.0,0,3,4,9,1960,1760,1947,0,47.6425,-122.406,2540,7064
417451.4087955894,20150212,572500.0,3,2.5,2490,7589,2.0,0,0,3,9,2490,0,1991,0,47.5355,-122.179,2500,10386
458454.1697808978,20140821,518500.0,4,3.0,2120,5520,1.5,0,0,3,8,1420,700,1985,0,47.7085,-122.286,2020,8700
685981.4462146086,20140817,710000.0,3,2.5,2830,9680,2.0,0,0,3,10,2830,0,1991,0,47.6249,-122.024,2970,8691
346873.894196814,20141015,600000.0,5,3.25,4410,58157,2.0,0,0,4,9,2330,2080,2001,0,47.4395,-122.111,2460,42565
486924.69816805795,20150410,467000.0,4,2.5,2220,7210,1.0,0,0,3,7,1270,950,1973,0,47.7428,-122.183,2220,7313
346873.894196814,20140729,309000.0,3,1.0,1280,9656,1.0,0,0,4,6,920,360,1959,0,47.4485,-122.175,1340,8808
418382.0345981288,20150401,362500.0,3,3.5,1710,2212,2.0,0,0,3,7,1400,310,2013,0,47.5459,-122.368,1580,2212
346873.894196814,20141027,390000.0,4,1.75,2330,8364,1.0,0,0,4,8,2330,0,1968,0,47.4568,-122.146,2180,9630
357529.891200098,20141124,208417.0,2,1.0,840,4200,1.0,0,0,3,5,840,0,1938,0,47.5292,-122.316,830,5000
313640.63720585563,20150211,340000.0,3,1.0,3180,27586,1.0,0,0,3,8,1400,1780,1969,0,47.1986,-121.967,2180,27586
458454.1697808978,20140929,467500.0,3,1.75,2260,8512,1.0,0,0,3,7,1130,1130,1948,0,47.7129,-122.304,2240,8040
798054.9483113907,20150102,829000.0,4,2.75,2970,59677,1.0,0,2,4,8,1610,1360,1973,0,47.5953,-122.08,2930,42489
639881.5383133248,20141110,959750.0,4,3.0,3060,50002,1.0,0,2,4,8,2460,600,1957,0,47.6205,-122.096,2740,16181
603227.3565173884,20140923,542000.0,3,2.5,1990,15985,1.0,0,0,3,8,1540,450,1964,0,47.6205,-122.141,2470,10125
1076907.663159129,20150204,2250000.0,3,2.5,3420,8700,1.0,0,0,3,9,2890,530,1951,0,47.6352,-122.29,3370,8700
695879.8141643608,20140714,575000.0,5,2.5,2990,7500,1.0,0,2,3,9,1800,1190,1972,0,47.7707,-122.369,2800,9860
517677.60943743406,20150318,690000.0,3,1.75,2330,16300,2.0,0,0,3,9,2330,0,1964,0,47.7037,-122.24,2330,16300
560439.0382323152,20150325,699950.0,3,3.25,2230,5460,1.0,0,1,4,8,1430,800,1977,0,47.53,-122.388,2070,5600
324171.50197200786,20141208,408500.0,4,2.5,2720,7043,2.0,0,0,3,9,2720,0,2003,0,47.3315,-122.169,2640,6958
619398.5815458181,20150108,595000.0,4,3.0,3680,35736,1.5,0,0,4,8,2320,1360,1970,0,47.4703,-122.015,3210,39512
385689.7941951416,20140527,313000.0,3,1.75,1320,6205,1.0,0,0,5,7,1320,0,1948,0,47.7412,-122.343,1210,6205
655438.3872677562,20150413,781000.0,4,2.5,2590,8571,2.0,0,0,3,9,2590,0,1988,0,47.691,-122.105,2360,8155
517677.60943743406,20141212,371000.0,4,1.75,1610,11305,1.0,0,0,3,7,1610,0,1968,0,47.727,-122.176,1870,11850
303050.6411104783,20141003,268000.0,3,2.0,1610,8416,1.0,0,0,3,7,1610,0,1994,0,47.397,-122.187,1600,8308
619398.5815458181,20150220,331000.0,2,2.25,1240,720,2.0,0,0,3,7,1150,90,2008,0,47.5322,-122.072,1260,810
458454.1697808978,20140522,321000.0,3,2.25,1347,1292,3.0,0,0,3,7,1347,0,2010,0,47.7306,-122.291,1480,1865
458454.1697808978,20140905,375000.0,3,1.75,1330,9417,1.0,0,0,5,6,710,620,1936,0,47.7231,-122.301,1690,7937
303762.75603763486,20150506,298000.0,2,1.0,850,5000,1.0,0,0,3,5,850,0,1907,0,47.4874,-122.207,910,4815
321519.3279579987,20150406,209500.0,3,1.5,970,5488,1.0,0,0,3,7,970,0,1976,0,47.5366,-122.359,1040,5488
418382.0345981288,20150203,440000.0,3,2.5,2160,3738,2.0,0,0,3,8,2160,0,1994,0,47.5661,-122.375,1500,4000
313062.96702520625,20150326,350000.0,4,2.5,2560,5428,2.0,0,0,3,8,2560,0,2012,0,47.3835,-122.095,2620,5428
647880.2314016988,20140911,618000.0,3,2.5,2340,3630,2.0,0,0,3,9,2340,0,1998,0,47.6059,-122.307,1820,5120
417012.1460102988,20141107,320000.0,3,1.0,1520,8870,1.5,0,0,4,7,1520,0,1951,0,47.7638,-122.317,1520,7800
313062.96702520625,20150408,234950.0,2,2.5,1720,3132,2.0,0,0,3,8,1720,0,1999,0,47.3728,-122.157,1740,4220
793877.9905020484,20140707,665000.0,5,2.0,2800,17788,1.0,0,0,4,8,1400,1400,1963,0,47.6719,-122.163,1760,18282
385689.7941951416,20150127,500000.0,4,2.0,1530,7816,1.0,0,0,3,7,1530,0,1955,0,47.7309,-122.332,1480,7816
432011.7554567581,20140819,575000.0,2,1.5,1750,19709,1.5,0,0,4,8,1440,310,1978,0,47.3351,-122.044,1950,21075
435617.8569495416,20140522,320000.0,3,2.0,1110,10500,1.0,0,0,5,7,1110,0,1978,0,47.4456,-121.773,1230,10395
385689.7941951416,20140513,464000.0,5,2.5,3400,8970,1.0,0,0,4,8,1700,1700,1959,0,47.7358,-122.335,1890,8475
289958.3931420999,20150326,280000.0,4,2.0,1600,6861,1.0,0,0,3,7,1600,0,1994,0,47.2701,-122.313,1870,7455
639881.5383133248,20141110,350000.0,3,1.0,940,7811,1.0,0,0,3,6,940,0,1959,0,47.6195,-122.118,1180,7490
517677.60943743406,20140708,249000.0,2,1.5,1090,2686,2.0,0,0,3,7,1090,0,1982,0,47.717,-122.19,1160,2158
580027.8727581471,20140505,531000.0,2,3.0,1270,1175,2.0,0,0,3,8,1110,160,2000,0,47.6634,-122.34,1290,1800
879447.8457632429,20141113,472800.0,3,2.25,1840,8400,1.0,0,0,3,8,1290,550,1961,0,47.5497,-122.172,2110,8400
773135.7822860475,20150403,710000.0,4,1.75,2120,5400,1.0,0,0,4,8,1060,1060,1941,0,47.6501,-122.395,2052,6000
793877.9905020484,20140717,580000.0,5,2.75,3550,9600,2.0,0,0,3,7,3550,0,1960,0,47.6766,-122.186,3370,9600
288713.37670255953,20141205,330000.0,4,2.5,2980,5674,2.0,0,0,3,8,2980,0,2003,0,47.277,-122.347,2610,5495
307183.51661482156,20141208,174950.0,2,1.0,730,6000,1.0,0,0,3,6,730,0,1950,1985,47.3832,-122.3,1750,7200
418382.0345981288,20140716,565000.0,3,3.0,2110,4000,1.0,0,2,4,7,1110,1000,1965,0,47.5696,-122.375,1730,4000
647880.2314016988,20141120,534000.0,5,2.0,2280,3600,2.0,0,0,3,7,2280,0,1992,0,47.6056,-122.305,1740,1800
773135.7822860475,20150423,503500.0,3,2.5,1810,1750,2.0,0,0,3,7,1350,460,1997,0,47.6513,-122.386,1640,1563
324171.50197200786,20140712,235000.0,3,1.75,1420,7920,1.0,0,0,4,7,1420,0,1962,0,47.2931,-122.188,1420,7920
415021.2704157972,20140805,558000.0,4,2.5,3220,5120,2.0,0,0,3,9,2420,800,2000,0,47.5434,-122.27,1770,7680
685981.4462146086,20140514,966000.0,5,4.5,3810,8019,2.0,0,0,3,10,3810,0,2008,0,47.5915,-122.058,3390,7713
580027.8727581471,20140701,1297000.0,6,2.75,2630,9420,2.0,0,0,5,9,2510,120,1900,0,47.6695,-122.337,1540,4969
321519.3279579987,20150430,310000.0,3,1.5,1060,6954,1.0,0,0,4,6,1060,0,1983,0,47.5497,-122.355,1560,6372
567142.8363777997,20141215,535000.0,2,1.0,1520,3360,1.0,0,0,4,7,830,690,1927,0,47.6815,-122.382,1470,3774
418382.0345981288,20150423,432000.0,4,1.75,1970,5160,1.5,0,0,3,7,1970,0,1942,0,47.534,-122.373,1230,4920
879447.8457632429,20150202,1750000.0,6,4.25,5860,13928,2.0,0,3,3,10,4150,1710,2013,0,47.5382,-122.114,5790,13928
568990.1002567675,20140512,675000.0,4,3.0,2400,3340,1.0,0,0,4,7,1200,1200,1964,0,47.6646,-122.365,1520,3758
431421.94585765817,20140729,337000.0,4,2.0,1590,8779,1.0,0,0,3,8,1590,0,2001,0,47.7408,-121.974,2090,9600
625942.10720666,20150420,410000.0,3,1.0,1410,5000,1.0,0,0,3,6,980,430,1925,0,47.5769,-122.397,1410,5000
303050.6411104783,20150414,320000.0,4,2.5,2130,9653,1.0,0,0,3,7,1500,630,1978,0,47.4068,-122.175,2000,7988
655438.3872677562,20140910,585000.0,4,2.5,2370,15200,1.0,0,0,3,8,1660,710,1975,0,47.6295,-122.089,2360,13879
517677.60943743406,20140724,835000.0,5,4.0,3600,14720,1.0,0,2,5,8,1800,1800,1960,0,47.7022,-122.227,3600,15358
685981.4462146086,20140613,863000.0,4,2.5,4120,22370,2.0,0,0,3,10,4120,0,1997,0,47.6239,-122.023,3180,7257
415021.2704157972,20150224,320000.0,3,1.0,1190,4120,1.0,0,0,3,6,1190,0,1929,0,47.5513,-122.272,1360,4635
